Código da Turma,Código da Disciplina,Nome da Disciplina,Tipo da Turma,Sala,Horários,Professor(es)
2026145,MAC0101,Integração na Universidade e na Profissão,Graduação,Sem Sala,ter 13:00 14:40,Paulo R. M. Meirelles
2026145,MAC0102,Caminhos no Bacharelado em Ciência da Computação,Graduação,Sem Sala,qui 12:00 13:40,Paulo R. M. Meirelles
2026145,MAC0105,Fundamentos de Matemática para a Computação,Graduação,Sem Sala,"qua 14:00 15:40
sex 08:00 09:40",Guilherme O. Mota
2026141,MAC0110,Introdução à Computação,Graduação,Sem Sala,"ter 08:00 09:40
qui 10:00 11:40",Benjamin M. Bumpus
2026142,MAC0110,Introdução à Computação,Graduação,Sem Sala,ter 08:00 11:40,Leonidas O. Brandao
2026145,MAC0110,Introdução à Computação,Graduação,Sem Sala,"seg 08:00 09:40
qua 10:00 11:40",Fábio H. Botler
2026151,MAC0110,Introdução à Computação,Graduação,Sem Sala,"ter 08:00 09:40
qui 10:00 11:40",Carlos H. Morimoto
2026154,MAC0110,Introdução à Computação,Graduação,Sem Sala,"qua 21:10 22:50
sex 19:20 21:00",Manoel M. Sanches
2026145,MAC0209,Modelagem e Simulação,Graduação,Sem Sala,seg 14:00 17:40,Roberto M. C. Junior
2026145,MAC0210,Laboratório de Métodos Numéricos,Graduação,Sem Sala,"ter 08:00 09:40
qui 10:00 11:40",Marcelo G. Queiroz
2026145,MAC0213,Atividade Curricular em Comunidade,Graduação,Sem Sala,sab 08:00 09:40,André Fujita
2026145,MAC0214,Atividade Curricular em Cultura e Extensão,Graduação,Sem Sala,sab 14:00 15:40,André Fujita
2026145,MAC0215,Atividade Curricular em Pesquisa,Graduação,Sem Sala,sab 10:00 11:40,André Fujita
2026145,MAC0320,Introdução à Teoria dos Grafos,Graduação,Sem Sala,"ter 14:00 15:40
qui 16:00 17:40",Fábio H. Botler
2026145,MAC0323,Algoritmos e Estruturas de Dados II,Graduação,Sem Sala,"ter 10:00 11:40
qui 08:00 09:40",Maurício L. R. C. Neto
2026145,MAC0327,Desafios de Programação,Graduação,Sem Sala,"ter 14:00 15:40
sex 10:00 11:40",Maurício L. R. C. Neto
2026145,MAC0329,Álgebra Booleana e Aplicações no Projeto de Arquitetura de Computadores,Graduação,Sem Sala,"ter 08:00 09:40
qui 10:00 11:40",Roberto H. Junior
2026145,MAC0335,Leitura Dramática,Graduação,Sem Sala,qui 13:00 16:00,Alan M. Durham
2026145,MAC0336,Criptografia para Segurança de Dados,Graduação,Sem Sala,"seg 16:00 17:40
qua 14:00 15:40",Routo Terada
2026145,MAC0350,Introdução ao Desenvolvimento de Sistemas de Software,Graduação,Sem Sala,"ter 10:00 11:40
qui 08:00 09:40",Paulo R. M. Meirelles
2026145,MAC0352,Redes de Computadores e Sistemas Distribuídos,Graduação,Sem Sala,"seg 10:00 11:40
qua 08:00 09:40",Helder M. N. S. Oliveira
2026145,MAC0417,Visão e Processamento de Imagens,Graduação,Sem Sala,"seg 16:00 17:40
qua 14:00 15:40",Ronaldo F. Hashimoto
2026145,MAC0420,Introdução a Computação Gráfica,Graduação,Sem Sala,"ter 16:00 17:40
qui 16:00 17:40",Carlos H. Morimoto
2026145,MAC0422,Sistemas Operacionais,Graduação,Sem Sala,"seg 08:00 09:40
qua 10:00 11:40",Daniel M. Batista
2026145,MAC0425,Inteligência Artificial,Graduação,Sem Sala,"ter 16:00 17:40
qui 14:00 15:40",Leliane N. Barros
